,video_name,MOS,Category,Resolution
0,Animation_1080P-01b3,3.649,Animation,1080
1,Animation_1080P-05f8,3.901,Animation,1080
2,Animation_1080P-0c4f,3.94,Animation,1080
3,Animation_1080P-0cdf,4.245,Animation,1080
4,Animation_1080P-18f5,4.158,Animation,1080
5,Animation_1080P-209f,4.189,Animation,1080
6,Animation_1080P-21dd,3.791,Animation,1080
7,Animation_1080P-2fbe,3.346,Animation,1080
8,Animation_1080P-2fff,4.369,Animation,1080
9,Animation_1080P-3d67,2.778,Animation,1080
10,Animation_1080P-3dbf,4.444,Animation,1080
11,Animation_1080P-3e01,4.045,Animation,1080
12,Animation_1080P-4214,3.51,Animation,1080
13,Animation_1080P-4609,4.698,Animation,1080
14,Animation_1080P-4be3,3.565,Animation,1080
15,Animation_1080P-4ea8,4.121,Animation,1080
16,Animation_1080P-5083,3.252,Animation,1080
17,Animation_1080P-58d3,4.243,Animation,1080
18,Animation_1080P-5dd8,3.958,Animation,1080
19,Animation_1080P-5f3b,4.243,Animation,1080
20,Animation_1080P-646f,3.376,Animation,1080
21,Animation_1080P-66ba,3.081,Animation,1080
22,Animation_1080P-6a33,2.052,Animation,1080
23,Animation_1080P-6ec0,4.124,Animation,1080
24,Animation_1080P-7f27,4.195,Animation,1080
25,Animation_2160P-41dc,3.512,Animation,2160
26,Animation_2160P-6f3b,4.082,Animation,2160
27,Animation_360P-08c9,3.652,Animation,360
28,Animation_360P-188f,3.702,Animation,360
29,Animation_360P-24d4,3.435,Animation,360
30,Animation_360P-3e40,2.353,Animation,360
31,Animation_360P-3e52,3.651,Animation,360
32,Animation_360P-47cc,3.282,Animation,360
33,Animation_360P-4b4c,3.003,Animation,360
34,Animation_360P-4edc,3.682,Animation,360
35,Animation_360P-5712,3.552,Animation,360
36,Animation_360P-5de0,3.429,Animation,360
37,Animation_360P-631c,2.236,Animation,360
38,Animation_360P-6355,3.126,Animation,360
39,Animation_360P-69e0,3.382,Animation,360
40,Animation_360P-7856,2.751,Animation,360
41,Animation_360P-794f,3.362,Animation,360
42,Animation_480P-0194,3.097,Animation,480
43,Animation_480P-046c,3.15,Animation,480
44,Animation_480P-0529,2.205,Animation,480
45,Animation_480P-073c,3.407,Animation,480
46,Animation_480P-087e,3.525,Animation,480
47,Animation_480P-08a5,3.42,Animation,480
48,Animation_480P-0d04,3.111,Animation,480
49,Animation_480P-1da7,3.183,Animation,480
50,Animation_480P-3281,3.211,Animation,480
51,Animation_480P-35ee,3.29,Animation,480
52,Animation_480P-3e06,2.994,Animation,480
53,Animation_480P-3fdf,3.465,Animation,480
54,Animation_480P-4b80,3.618,Animation,480
55,Animation_480P-4b86,3.495,Animation,480
56,Animation_480P-4e36,3.303,Animation,480
57,Animation_480P-52af,3.656,Animation,480
58,Animation_480P-66c0,3.453,Animation,480
59,Animation_480P-6e23,3.731,Animation,480
60,Animation_480P-6ef6,3.607,Animation,480
61,Animation_480P-6ff4,3.29,Animation,480
62,Animation_480P-70d4,3.848,Animation,480
63,Animation_480P-7114,3.653,Animation,480
64,Animation_480P-791b,3.286,Animation,480
65,Animation_480P-7a31,3.487,Animation,480
66,Animation_480P-7ef2,3.164,Animation,480
67,Animation_720P-0116,4.054,Animation,720
68,Animation_720P-01b3,3.638,Animation,720
69,Animation_720P-06a6,3.942,Animation,720
70,Animation_720P-0acc,3.876,Animation,720
71,Animation_720P-0c8f,3.409,Animation,720
72,Animation_720P-13b7,4.318,Animation,720
73,Animation_720P-1a6d,4.283,Animation,720
74,Animation_720P-2525,3.73,Animation,720
75,Animation_720P-26d2,3.14,Animation,720
76,Animation_720P-2abf,3.615,Animation,720
77,Animation_720P-31c9,4.351,Animation,720
78,Animation_720P-3adc,3.575,Animation,720
79,Animation_720P-412a,4.249,Animation,720
80,Animation_720P-41cf,3.862,Animation,720
81,Animation_720P-41d6,4.148,Animation,720
82,Animation_720P-4268,3.846,Animation,720
83,Animation_720P-431c,4.396,Animation,720
84,Animation_720P-4b17,4.074,Animation,720
85,Animation_720P-57d9,3.522,Animation,720
86,Animation_720P-5bfc,4.421,Animation,720
87,Animation_720P-620f,4.522,Animation,720
88,Animation_720P-6372,4.422,Animation,720
89,Animation_720P-79ee,2.197,Animation,720
90,Animation_720P-7b29,3.862,Animation,720
91,Animation_720P-7e7d,3.589,Animation,720
92,Animation_720P-7ff2,4.124,Animation,720
93,CoverSong_1080P-0188,2.383,CoverSong,1080
94,CoverSong_1080P-033d,4.433,CoverSong,1080
95,CoverSong_1080P-0a86,4.228,CoverSong,1080
96,CoverSong_1080P-0cdc,2.741,CoverSong,1080
97,CoverSong_1080P-0f33,3.221,CoverSong,1080
98,CoverSong_1080P-0f3a,4.358,CoverSong,1080
99,CoverSong_1080P-1963,3.882,CoverSong,1080
100,CoverSong_1080P-1b08,3.812,CoverSong,1080
101,CoverSong_1080P-1b0c,3.763,CoverSong,1080
102,CoverSong_1080P-2207,3.675,CoverSong,1080
103,CoverSong_1080P-237f,3.893,CoverSong,1080
104,CoverSong_1080P-3409,4.331,CoverSong,1080
105,CoverSong_1080P-3499,4.193,CoverSong,1080
106,CoverSong_1080P-3aac,3.381,CoverSong,1080
107,CoverSong_1080P-3df8,3.827,CoverSong,1080
108,CoverSong_1080P-4bad,4.298,CoverSong,1080
