,video_name,MOS
0,A001,80.232
1,A002,57.3005
2,A003,78.1558
3,A004,59.3179
4,A005,47.1778
5,A006,84.6517
6,A007,50.8675
7,A008,46.8902
8,A009,80.7925
9,A010,31.2785
10,A011,87.2287
11,A012,47.7826
12,A013,83.4083
13,A014,69.9652
14,A015,78.3957
15,A016,37.8421
16,A017,65.4778
17,A018,76.0205
18,A019,70.843
19,A020,77.7258
20,A021,37.6011
21,A022,38.674
22,A023,69.0588
23,A024,71.962
24,A025,42.0856
25,A026,74.5397
26,A027,56.3388
27,A028,41.5304
28,A029,75.3861
29,A030,81.5278
30,A031,62.1042
31,A032,74.3189
32,A033,71.7097
33,A034,80.4271
34,A035,85.0968
35,A036,46.6608
36,A037,77.5858
37,A038,51.9195
38,A039,53.006
39,A040,50.3763
40,A041,35.1412
41,A042,76.8312
42,A043,38.1554
43,A044,53.4333
44,A045,81.9773
45,A046,69.1902
46,A047,58.4895
47,A048,72.3462
48,A049,72.2176
49,A050,48.0519
50,A051,80.2807
51,A052,44.8256
52,A053,67.0884
53,A054,76.1667
54,A055,53.8092
55,A056,52.3594
56,A057,66.4892
57,A058,57.0
58,A059,74.2873
59,A060,63.1839
60,A061,56.4521
61,A062,47.5187
62,A063,44.8971
63,A064,49.8497
64,A065,81.8222
65,A066,74.7647
66,A067,77.4551
67,A068,39.123
68,A069,49.4444
69,A070,65.4608
70,A071,74.1071
71,A072,20.4406
72,A073,91.1313
73,A074,57.3204
74,A075,58.1867
75,A076,64.7835
76,A077,74.4483
77,A078,38.8777
78,A079,81.0943
79,A080,39.2086
80,A081,75.7143
81,A082,87.0859
82,A083,46.3077
83,A084,55.3835
84,A085,70.8486
85,A086,35.2749
86,A087,56.6415
87,A088,43.4892
88,A089,46.9444
89,A090,86.1709
90,A091,46.2238
91,A092,71.095
92,A093,66.9632
93,A094,52.3441
94,A095,71.5491
95,A096,66.5815
96,A097,66.4593
97,A098,85.8091
98,A099,46.1517
99,A100,46.6273
100,A101,69.3657
101,A102,62.987
102,A103,71.6203
103,A104,50.385
104,A105,37.8824
105,A106,72.642
106,A107,81.6325
107,A108,35.8462
108,A109,36.5086
109,A110,87.8585
110,B001,27.2485
111,B002,73.4245
112,B003,49.1111
113,B004,60.6719
114,B005,47.2959
115,B006,44.4845
116,B007,37.858
117,B008,75.0204
118,B009,39.4971
119,B010,33.9518
120,B011,36.0333
121,B012,33.9801
122,B013,58.0795
123,B014,62.3243
124,B015,56.9636
125,B016,52.1065
126,B017,65.3693
127,B018,54.024
128,B019,66.1658
129,B020,69.2781
130,B021,84.9903
131,B022,84.532
132,B023,70.8629
133,B024,67.6078
134,B025,86.53
